,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,0.0,2.0,0.0,11.0,467.0,26.0,1.0,1.0,3.0,6.0,2.0,3.0,0.0,0.0,2.0,13.0,0.0,1.0,5.0,0.0,0.0,7.0,0.0
2,101.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
3,4.0,1.0,4.0,8.0,37.0,23.0,3.0,0.0,6.0,25.0,40.0,9.0,2.0,0.0,7.0,112.0,2.0,2.0,13.0,2.0,1.0,6.0,3.0
4,0.0,0.0,0.0,1.0,2.0,55.0,1.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,1.0,32.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
5,0.0,327.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
6,1.0,0.0,0.0,0.0,2.0,0.0,248.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,260.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,137.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
10,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,118.0,0.0,1.0,0.0,0.0,0.0,1.0
11,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,99.0,1.0,3.0,1.0,0.0,0.0,113.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,4.0,193.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
13,4.0,33.0,6.0,7.0,48.0,6.0,20.0,8.0,4.0,38.0,5.0,27.0,23.0,9.0,5.0,17.0,9.0,0.0,26.0,5.0,18.0,11.0,11.0
14,2.0,0.0,0.0,0.0,1406.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,6.0,7.0,82.0,0.0,1.0,0.0,4.0,4.0,0.0,12.0,1.0,6.0,5.0,7.0,0.0,8.0,2.0,1.0,0.0,16.0,10.0,1.0,8.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,677.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,96.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
18,2.0,2.0,0.0,38.0,1.0,1.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0
20,410.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,38.0,4.0,1.0,0.0,3.0,1.0,62.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
22,0.0,3.0,2.0,3.0,6.0,3.0,2.0,31.0,2.0,92.0,2.0,1.0,11.0,0.0,5.0,5.0,2.0,44.0,3.0,0.0,0.0,4.0,13.0
